seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
2,64,7298,ses-2020-11-18-Run1,1600,32.0,0.23558842837810517
2,64,7298,ses-2020-11-18-Run1,3200,40.3,0.24117937684059143
2,64,7298,ses-2020-11-18-Run1,1000000000,40.3,0.24117937684059143
2,64,7298,ses-2020-11-19-Run1,200,4.0,0.012448062002658845
2,64,7298,ses-2020-11-19-Run1,400,8.0,0.051468050479888915
2,64,7298,ses-2020-11-19-Run1,800,16.0,0.041083996370434764
2,64,7298,ses-2020-11-19-Run1,1600,32.0,0.04165977649390697
2,64,7298,ses-2020-11-19-Run1,3200,48.7,0.047132695093750954
2,64,7298,ses-2020-11-19-Run1,1000000000,48.7,0.047132695093750954
2,64,7298,ses-2020-11-24-Run1,200,4.0,-0.06848979187197983
2,64,7298,ses-2020-11-24-Run1,400,8.0,0.0017391860485076905
2,64,7298,ses-2020-11-24-Run1,800,16.0,0.024972781538963318
2,64,7298,ses-2020-11-24-Run1,1600,32.0,0.029105255007743837
2,64,7298,ses-2020-11-24-Run1,3200,35.4,0.03028297871351242
2,64,7298,ses-2020-11-24-Run1,1000000000,35.4,0.03028297871351242
2,64,7298,ses-2020-11-24-Run2,200,4.0,-0.05934624075889587
2,64,7298,ses-2020-11-24-Run2,400,8.0,-0.02908359467983246
2,64,7298,ses-2020-11-24-Run2,800,16.0,-0.02643326558172703
2,64,7298,ses-2020-11-24-Run2,1600,32.0,-0.024835260957479476
2,64,7298,ses-2020-11-24-Run2,3200,37.6,-0.02850833386182785
2,64,7298,ses-2020-11-24-Run2,1000000000,37.6,-0.02850833386182785
3,64,7298,ses-2020-10-30-Run1,200,4.0,0.3946613907814026
3,64,7298,ses-2020-10-30-Run1,400,8.0,0.3842642068862915
3,64,7298,ses-2020-10-30-Run1,800,16.0,0.38489743173122404
3,64,7298,ses-2020-10-30-Run1,1600,32.0,0.3851617991924286
3,64,7298,ses-2020-10-30-Run1,3200,43.6,0.38648476004600524
3,64,7298,ses-2020-10-30-Run1,1000000000,43.6,0.38648476004600524
3,64,7298,ses-2020-10-30-Run2,200,4.0,0.3235745161771774
3,64,7298,ses-2020-10-30-Run2,400,8.0,0.31860570311546327
