config,seed,nparam,session,budget_frames,ref_raw_r2
grouped_se,1,7757,ses-2020-11-18-Run1,1600,0.11492185890674592
grouped_se,1,7757,ses-2020-11-18-Run1,3200,0.12122478261590004
grouped_se,1,7757,ses-2020-11-18-Run1,1000000000,0.12122478261590004
grouped_se,1,7757,ses-2020-11-19-Run1,200,-0.012814491242170333
grouped_se,1,7757,ses-2020-11-19-Run1,400,-0.018311671540141107
grouped_se,1,7757,ses-2020-11-19-Run1,800,-0.020650735683739187
grouped_se,1,7757,ses-2020-11-19-Run1,1600,-0.014572875760495662
grouped_se,1,7757,ses-2020-11-19-Run1,3200,-0.012628738209605217
grouped_se,1,7757,ses-2020-11-19-Run1,1000000000,-0.012628738209605217
grouped_se,1,7757,ses-2020-11-24-Run1,200,0.06600557565689087
grouped_se,1,7757,ses-2020-11-24-Run1,400,0.0657946676015854
grouped_se,1,7757,ses-2020-11-24-Run1,800,0.07948541045188903
grouped_se,1,7757,ses-2020-11-24-Run1,1600,0.08121563345193863
grouped_se,1,7757,ses-2020-11-24-Run1,3200,0.08287038207054138
grouped_se,1,7757,ses-2020-11-24-Run1,1000000000,0.08287038207054138
grouped_se,1,7757,ses-2020-11-24-Run2,200,-0.00703037828207016
grouped_se,1,7757,ses-2020-11-24-Run2,400,-0.008353485912084579
grouped_se,1,7757,ses-2020-11-24-Run2,800,0.002430173009634018
grouped_se,1,7757,ses-2020-11-24-Run2,1600,-0.0012010887265205383
grouped_se,1,7757,ses-2020-11-24-Run2,3200,0.001524115726351738
grouped_se,1,7757,ses-2020-11-24-Run2,1000000000,0.001524115726351738
grouped_se,2,7757,ses-2020-10-30-Run1,200,0.37998828291893005
grouped_se,2,7757,ses-2020-10-30-Run1,400,0.36353873312473295
grouped_se,2,7757,ses-2020-10-30-Run1,800,0.3748189568519592
grouped_se,2,7757,ses-2020-10-30-Run1,1600,0.3768265277147293
grouped_se,2,7757,ses-2020-10-30-Run1,3200,0.3760494917631149
grouped_se,2,7757,ses-2020-10-30-Run1,1000000000,0.3760494917631149
grouped_se,2,7757,ses-2020-10-30-Run2,200,0.2535938560962677
grouped_se,2,7757,ses-2020-10-30-Run2,400,0.26519387364387514
grouped_se,2,7757,ses-2020-10-30-Run2,800,0.263506281375885
grouped_se,2,7757,ses-2020-10-30-Run2,1600,0.26980070769786835
grouped_se,2,7757,ses-2020-10-30-Run2,3200,0.2694464400410652
grouped_se,2,7757,ses-2020-10-30-Run2,1000000000,0.2694464400410652
grouped_se,2,7757,ses-2020-11-18-Run1,200,0.20913016200065612
grouped_se,2,7757,ses-2020-11-18-Run1,400,0.20086047649383545
grouped_se,2,7757,ses-2020-11-18-Run1,800,0.22603966020978988
grouped_se,2,7757,ses-2020-11-18-Run1,1600,0.22069119699299336
grouped_se,2,7757,ses-2020-11-18-Run1,3200,0.22416050545871258
grouped_se,2,7757,ses-2020-11-18-Run1,1000000000,0.22416050545871258
grouped_se,2,7757,ses-2020-11-19-Run1,200,0.04937855005264282
grouped_se,2,7757,ses-2020-11-19-Run1,400,0.04081374108791351
grouped_se,2,7757,ses-2020-11-19-Run1,800,0.044049943797290325
grouped_se,2,7757,ses-2020-11-19-Run1,1600,0.03778933398425579
grouped_se,2,7757,ses-2020-11-19-Run1,3200,0.03978193253278732
grouped_se,2,7757,ses-2020-11-19-Run1,1000000000,0.03978193253278732
grouped_se,2,7757,ses-2020-11-24-Run1,200,0.12105304598808289
grouped_se,2,7757,ses-2020-11-24-Run1,400,0.1302721083164215
grouped_se,2,7757,ses-2020-11-24-Run1,800,0.137062206864357
grouped_se,2,7757,ses-2020-11-24-Run1,1600,0.14158768355846404
grouped_se,2,7757,ses-2020-11-24-Run1,3200,0.14091634154319763
grouped_se,2,7757,ses-2020-11-24-Run1,1000000000,0.14091634154319763
grouped_se,2,7757,ses-2020-11-24-Run2,200,0.023949797078967095
grouped_se,2,7757,ses-2020-11-24-Run2,400,0.012362634390592575
grouped_se,2,7757,ses-2020-11-24-Run2,800,0.024843229132238777
grouped_se,2,7757,ses-2020-11-24-Run2,1600,0.02533863177523017
grouped_se,2,7757,ses-2020-11-24-Run2,3200,0.02601889781653881
grouped_se,2,7757,ses-2020-11-24-Run2,1000000000,0.02601889781653881
grouped_se,3,7757,ses-2020-10-30-Run1,200,0.4181742787361145
grouped_se,3,7757,ses-2020-10-30-Run1,400,0.40603815019130707
grouped_se,3,7757,ses-2020-10-30-Run1,800,0.41358068585395813
grouped_se,3,7757,ses-2020-10-30-Run1,1600,0.41887961626052855
grouped_se,3,7757,ses-2020-10-30-Run1,3200,0.41752700209617616
grouped_se,3,7757,ses-2020-10-30-Run1,1000000000,0.41752700209617616
grouped_se,3,7757,ses-2020-10-30-Run2,200,0.3866682261228561
grouped_se,3,7757,ses-2020-10-30-Run2,400,0.3981614887714386
grouped_se,3,7757,ses-2020-10-30-Run2,800,0.3933597236871719
grouped_se,3,7757,ses-2020-10-30-Run2,1600,0.39172726273536684
grouped_se,3,7757,ses-2020-10-30-Run2,3200,0.3937720596790314
grouped_se,3,7757,ses-2020-10-30-Run2,1000000000,0.3937720596790314
grouped_se,3,7757,ses-2020-11-18-Run1,200,0.19631605357863008
grouped_se,3,7757,ses-2020-11-18-Run1,400,0.18270880305208265
grouped_se,3,7757,ses-2020-11-18-Run1,800,0.21006440771743656
grouped_se,3,7757,ses-2020-11-18-Run1,1600,0.20728517253883183
grouped_se,3,7757,ses-2020-11-18-Run1,3200,0.20917270147474482
grouped_se,3,7757,ses-2020-11-18-Run1,1000000000,0.20917270147474482
